sample_index,timestamp_s,ecg_clean_mv,analog_v,adc_code,label,source
0,0.0,4.161573468928808e-128,1.5003538008752633,12002,bradycardia,synthetic_ads1115
1,0.004,2.1199215833267935e-127,1.505735632318848,12046,bradycardia,synthetic_ads1115
2,0.008,1.0751073457210976e-126,1.4995374088682714,11996,bradycardia,synthetic_ads1115
3,0.012,5.428172796247511e-126,1.4941958898351857,11953,bradycardia,synthetic_ads1115
4,0.016,2.7285084399390016e-125,1.5020909601278514,12016,bradycardia,synthetic_ads1115
5,0.02,1.3654215129099038e-124,1.5076803900444053,12061,bradycardia,synthetic_ads1115
6,0.024,6.802647746811954e-124,1.5020494503197226,12016,bradycardia,synthetic_ads1115
7,0.028,3.3741083700882596e-123,1.5042993437444465,12034,bradycardia,synthetic_ads1115
8,0.032,1.6661337959099928e-122,1.5027640581252881,12022,bradycardia,synthetic_ads1115
9,0.036,8.190879229635374e-122,1.4944075204151477,11955,bradycardia,synthetic_ads1115
10,0.04,4.008860773892175e-121,1.50560638934577,12044,bradycardia,synthetic_ads1115
11,0.044,1.9533552182596617e-120,1.5047864029272269,12038,bradycardia,synthetic_ads1115
12,0.048,9.47569956888666e-120,1.5052794927848188,12042,bradycardia,synthetic_ads1115
13,0.052,4.576264740608575e-119,1.5013832467175456,12011,bradycardia,synthetic_ads1115
14,0.056,2.200294438961562e-118,1.500503269448354,12004,bradycardia,synthetic_ads1115
15,0.06,1.0532228283140249e-117,1.5066329949534094,12053,bradycardia,synthetic_ads1115
16,0.064,5.019142530450987e-117,1.511222681095,12089,bradycardia,synthetic_ads1115
17,0.068,2.3812697548441503e-116,1.505902346112649,12047,bradycardia,synthetic_ads1115
18,0.072,1.1247537905058517e-115,1.50514717623543,12041,bradycardia,synthetic_ads1115
19,0.076,5.289031301725705e-115,1.4978448884687972,11982,bradycardia,synthetic_ads1115
20,0.08,2.4760796531839266e-114,1.5101419574586081,12081,bradycardia,synthetic_ads1115
21,0.084,1.1540453830468695e-113,1.5092408443300755,12074,bradycardia,synthetic_ads1115
22,0.088,5.354895087605287e-113,1.5087288394694334,12069,bradycardia,synthetic_ads1115
23,0.092,2.4737103585535686e-112,1.5077151899891712,12061,bradycardia,synthetic_ads1115
24,0.096,1.1376705893579412e-111,1.4986730876622048,11989,bradycardia,synthetic_ads1115
25,0.1,5.2089959127589715e-111,1.5044014767462255,12035,bradycardia,synthetic_ads1115
26,0.104,2.3744405729810162e-110,1.5173990843120713,12139,bradycardia,synthetic_ads1115
27,0.108,1.0775523909305961e-109,1.502453029007935,12019,bradycardia,synthetic_ads1115
28,0.112,4.868389167741186e-109,1.498787458065545,11990,bradycardia,synthetic_ads1115
29,0.116,2.189787550191274e-108,1.5015310626572342,12012,bradycardia,synthetic_ads1115
30,0.12,9.80592301804547e-108,1.5063177009642301,12050,bradycardia,synthetic_ads1115
31,0.124,4.3716439045051715e-107,1.513640393167981,12109,bradycardia,synthetic_ads1115
32,0.128,1.9403089221756146e-106,1.5153732848207666,12123,bradycardia,synthetic_ads1115
33,0.132,8.573670419627072e-106,1.5117744770335726,12094,bradycardia,synthetic_ads1115
34,0.136,3.771659611249051e-105,1.5031211774505129,12025,bradycardia,synthetic_ads1115
35,0.14,1.651840081072902e-104,1.5060200775478647,12048,bradycardia,synthetic_ads1115
36,0.144,7.202334885810346e-104,1.5126962249655351,12101,bradycardia,synthetic_ads1115
37,0.148,3.126427946393868e-103,1.5156856131571943,12125,bradycardia,synthetic_ads1115
38,0.152,1.3511181862797307e-102,1.5021064273955347,12016,bradycardia,synthetic_ads1115
39,0.156,5.8131035284184285e-102,1.5057671995613735,12046,bradycardia,synthetic_ads1115
40,0.16,2.4899611888714075e-101,1.5069791786516418,12055,bradycardia,synthetic_ads1115
41,0.164,1.0618102178904608e-100,1.5200161684819444,12160,bradycardia,synthetic_ads1115
42,0.168,4.5078662830451746e-100,1.5070368618544148,12056,bradycardia,synthetic_ads1115
43,0.172,1.9053069523579317e-99,1.5024801399327068,12019,bradycardia,synthetic_ads1115
44,0.176,8.017310093839492e-99,1.5048606548669068,12039,bradycardia,synthetic_ads1115
45,0.18,3.358630389874758e-98,1.5138726866438152,12111,bradycardia,synthetic_ads1115
46,0.184,1.4007658563987471e-97,1.5156144561634748,12125,bradycardia,synthetic_ads1115
47,0.188,5.816191315656019e-97,1.519024608141622,12152,bradycardia,synthetic_ads1115
48,0.192,2.404261058193444e-96,1.5034617331428974,12027,bradycardia,synthetic_ads1115
49,0.196,9.894511626143145e-96,1.5158776562086753,12127,bradycardia,synthetic_ads1115
50,0.2,4.0539361699873403e-95,1.5145307572277886,12116,bradycardia,synthetic_ads1115
51,0.204,1.6535953862512268e-94,1.5082192256120082,12065,bradycardia,synthetic_ads1115
52,0.208,6.715083227100779e-94,1.5180851243893967,12144,bradycardia,synthetic_ads1115
53,0.212,2.7148344392682444e-93,1.5158297821308715,12126,bradycardia,synthetic_ads1115
54,0.216,1.0927104647125566e-92,1.509913216077231,12079,bradycardia,synthetic_ads1115
55,0.22,4.378613956385909e-92,1.5166665579192256,12133,bradycardia,synthetic_ads1115
56,0.224,1.7467792087337602e-91,1.5228021615528933,12182,bradycardia,synthetic_ads1115
57,0.228,6.937598677088889e-91,1.518704550902959,12149,bradycardia,synthetic_ads1115
58,0.232,2.7431536559929057e-90,1.5127467779441175,12102,bradycardia,synthetic_ads1115
59,0.236,1.0798437001998564e-89,1.5110225823912227,12088,bradycardia,synthetic_ads1115
60,0.24,4.231959133305168e-89,1.5135780681709934,12108,bradycardia,synthetic_ads1115
61,0.244,1.6511701688095843e-88,1.5172373748203178,12138,bradycardia,synthetic_ads1115
62,0.248,6.413749659436917e-88,1.513544435431776,12108,bradycardia,synthetic_ads1115
63,0.252,2.48028723278088e-87,1.5127941437875598,12102,bradycardia,synthetic_ads1115
64,0.256,9.549084868895108e-87,1.5139860871060415,12112,bradycardia,synthetic_ads1115
65,0.26,3.660086345239601e-86,1.5135938906094784,12108,bradycardia,synthetic_ads1115
66,0.264,1.3966600508066187e-85,1.5157898694123024,12126,bradycardia,synthetic_ads1115
67,0.268,5.305910174572487e-85,1.5120413545360023,12096,bradycardia,synthetic_ads1115
68,0.272,2.0067759058175809e-84,1.5179066609716088,12143,bradycardia,synthetic_ads1115
69,0.276,7.5562734334583445e-84,1.511556154768142,12092,bradycardia,synthetic_ads1115
70,0.28,2.832606545109088e-83,1.5199580926015315,12159,bradycardia,synthetic_ads1115
71,0.284,1.0571452089569714e-82,1.5224277489741533,12179,bradycardia,synthetic_ads1115
72,0.288,3.927831418995816e-82,1.5126704416583814,12101,bradycardia,synthetic_ads1115
