sample_index,timestamp_s,ecg_clean_mv,analog_v,adc_code,label,source
0,0.0,8.450872183956469e-64,1.5031921026835282,12025,normal,synthetic_ads1115
1,0.004,2.685201962620081e-63,1.5094054284019398,12075,normal,synthetic_ads1115
2,0.008,8.494194103279776e-63,1.5051570830495327,12041,normal,synthetic_ads1115
3,0.012,2.6750826724464593e-62,1.4938089289117822,11950,normal,synthetic_ads1115
4,0.016,8.387297307833278e-62,1.501302643804946,12010,normal,synthetic_ads1115
5,0.02,2.6180423639426354e-61,1.5039963180279494,12032,normal,synthetic_ads1115
6,0.024,8.135815738647782e-61,1.5039184413561268,12031,normal,synthetic_ads1115
7,0.028,2.517070272895633e-60,1.5080280527135457,12064,normal,synthetic_ads1115
8,0.032,7.752814260678026e-60,1.5015668942318618,12012,normal,synthetic_ads1115
9,0.036,2.377350525978224e-59,1.4968660696607643,11975,normal,synthetic_ads1115
10,0.04,7.257664095334407e-59,1.5020132620382285,12016,normal,synthetic_ads1115
11,0.044,2.2058212169904962e-58,1.5083241702666463,12066,normal,synthetic_ads1115
12,0.048,6.674420396846183e-58,1.500615372891966,12005,normal,synthetic_ads1115
13,0.052,2.0106043050342387e-57,1.4974580325159472,11979,normal,synthetic_ads1115
14,0.056,6.029890987866008e-57,1.4983225234243862,11986,normal,synthetic_ads1115
15,0.06,1.8003714432276166e-56,1.5064359137341203,12051,normal,synthetic_ads1115
16,0.064,5.351611434124168e-56,1.5057894813413986,12046,normal,synthetic_ads1115
17,0.068,1.5837142794558942e-55,1.5066433711389093,12053,normal,synthetic_ads1115
18,0.072,4.6659372554873975e-55,1.4977671275602886,11982,normal,synthetic_ads1115
19,0.076,1.3685817946000615e-54,1.4976099133725738,11981,normal,synthetic_ads1115
20,0.08,3.996431974605681e-54,1.506707984996704,12053,normal,synthetic_ads1115
21,0.084,1.161833497660653e-53,1.508403065828496,12067,normal,synthetic_ads1115
22,0.088,3.362677088550069e-53,1.5079548571045422,12063,normal,synthetic_ads1115
