sample_index,timestamp_s,ecg_clean_mv,analog_v,adc_code,label,source
0,0.0,2.3577540339466718e-48,1.4961614792999582,11969,possible_af,synthetic_ads1115
1,0.004,6.476389499450284e-48,1.5026071801231942,12020,possible_af,synthetic_ads1115
2,0.008,1.7710761130810963e-47,1.5088610618826002,12071,possible_af,synthetic_ads1115
3,0.012,4.821823327042966e-47,1.4996388357414034,11997,possible_af,synthetic_ads1115
4,0.016,1.3069385370031508e-46,1.4936361811820047,11949,possible_af,synthetic_ads1115
5,0.02,3.526702588373547e-46,1.502302919087577,12018,possible_af,synthetic_ads1115
6,0.024,9.474412984713927e-46,1.5021776312706492,12017,possible_af,synthetic_ads1115
7,0.028,2.5339940376871158e-45,1.5052882604304119,12042,possible_af,synthetic_ads1115
8,0.032,6.747278993655315e-45,1.493294561411286,11946,possible_af,synthetic_ads1115
9,0.036,1.788634280250674e-44,1.4982611391846739,11986,possible_af,synthetic_ads1115
10,0.04,4.720459046187432e-44,1.5047255763291327,12037,possible_af,synthetic_ads1115
11,0.044,1.2402713752496164e-43,1.5114628260936938,12091,possible_af,synthetic_ads1115
12,0.048,3.244285079805619e-43,1.5037463623925227,12030,possible_af,synthetic_ads1115
13,0.052,8.448723559087173e-43,1.5022487788878756,12018,possible_af,synthetic_ads1115
14,0.056,2.1904482314760036e-42,1.4941292691886334,11953,possible_af,synthetic_ads1115
15,0.06,5.6538552990374847e-42,1.5094189308384538,12075,possible_af,synthetic_ads1115
16,0.064,1.4528680964374994e-41,1.5016439504783907,12013,possible_af,synthetic_ads1115
17,0.068,3.716870991079627e-41,1.5125641300527704,12100,possible_af,synthetic_ads1115
18,0.072,9.466699464490786e-41,1.5013988390215798,12011,possible_af,synthetic_ads1115
19,0.076,2.4004324815368425e-40,1.4996441985544218,11997,possible_af,synthetic_ads1115
20,0.08,6.059687135952148e-40,1.502298290670451,12018,possible_af,synthetic_ads1115
21,0.084,1.5229326984783463e-39,1.5063585538663349,12051,possible_af,synthetic_ads1115
22,0.088,3.810491727725346e-39,1.506179857142353,12049,possible_af,synthetic_ads1115
23,0.092,9.491855917818428e-39,1.5025056563475725,12020,possible_af,synthetic_ads1115
24,0.096,2.3539165022246297e-38,1.5048915983538742,12039,possible_af,synthetic_ads1115
25,0.1,5.811667673202229e-38,1.50054244984215,12004,possible_af,synthetic_ads1115
26,0.104,1.4285001593635445e-37,1.511448140755264,12091,possible_af,synthetic_ads1115
27,0.108,3.4956634723671293e-37,1.506629642311908,12053,possible_af,synthetic_ads1115
28,0.112,8.51625666815655e-37,1.503326904692741,12026,possible_af,synthetic_ads1115
29,0.116,2.0655593106648233e-36,1.4968114110592392,11974,possible_af,synthetic_ads1115
30,0.12,4.987654938887409e-36,1.5034657787495742,12027,possible_af,synthetic_ads1115
31,0.124,1.1990158730713298e-35,1.5157425868406065,12126,possible_af,synthetic_ads1115
32,0.128,2.869612578166766e-35,1.502233245624041,12017,possible_af,synthetic_ads1115
33,0.132,6.837406560769239e-35,1.511253695472515,12090,possible_af,synthetic_ads1115
34,0.136,1.6219196810384559e-34,1.5038805114585776,12031,possible_af,synthetic_ads1115
35,0.14,3.8303378798606757e-34,1.5114370477420034,12091,possible_af,synthetic_ads1115
36,0.144,9.005640981646755e-34,1.514943871762231,12119,possible_af,synthetic_ads1115
37,0.148,2.1079581076303307e-33,1.511617918730663,12093,possible_af,synthetic_ads1115
